id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_14378,"Jaleco Lisbon","Tecido: MicrofIbra Repelente a Líquido, Cor: Rosê",https://biostilo.com:444/wp-content/uploads/2020/09/IMG_8951-scaled-e1600793376427.jpg,https://biostilo.com:444/product/jaleco-lisbon/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=rose,"Coleção Casablanca, Destaques, Feminino, Jalecos","BioStilo",192BRL,in stock,wc_post_id_9674,https://biostilo.com:444/carrinho/?add-to-cart=9674&variation_id=14378&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=rose,"https://biostilo.com:444/wp-content/uploads/2020/01/lisbon-militar-dourado0.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/lisbon-militar-dourado1.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/lisbon-bege-dourado2.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/lisbon-militar-dourado2.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/lisbon-bege-dourado0.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,192BRL,new,published,,"tecido:MicrofIbra Repelente a Líquido/Microfibra Antimicrobiana/Microfibra Comum:MicrofIbra Repelente a Líquido,cor:Bege com Ziper Dourado/Branco com zíper Rosê/Militar com zíper dourado/Marinho/Rosê:Rosê"
F09_14363,"Jaleco Heras","Tecido: MicrofIbra Repelente a Líquido, Cor: Verde Água",https://biostilo.com:444/wp-content/uploads/2020/09/IMG_8820.jpg,https://biostilo.com:444/product/jaleco-heras/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=verde-agua,"Feminino, Jalecos","BioStilo",208BRL,in stock,F09_6612,https://biostilo.com:444/carrinho/?add-to-cart=6612&variation_id=14363&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=verde-agua,"https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras0.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras1.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras2.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras3.jpg,https://biostilo.com:444/wp-content/uploads/2020/02/1-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,208BRL,new,published,,"tecido:Microfibra Antimicrobiana/Microfibra Comum/MicrofIbra Repelente a Líquido/Microfibra Stretch:MicrofIbra Repelente a Líquido,cor:Branco/Azul Claro/Bege/Chumbo/Cinza Claro/Marinho/Verde/Vinho/Pink/Verde Água:Verde Água"
wc_post_id_14353,"Jaleco Rick","Tecido: MicrofIbra Repelente a Líquido, Cor: Marinho",https://biostilo.com:444/wp-content/uploads/2020/01/IMG_9139-scaled-e1600372381182.jpg,https://biostilo.com:444/product/jaleco-rick/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=marinho,"Coleção Casablanca, Destaques, Masculino, Jalecos","BioStilo",189BRL,in stock,wc_post_id_9642,https://biostilo.com:444/carrinho/?add-to-cart=9642&variation_id=14353&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=marinho,"https://biostilo.com:444/wp-content/uploads/2020/01/rick-branco2.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/rick-vinho3.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/rick-chumbo4.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/01.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/rick-chumbo0.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,189BRL,new,published,,"tecido:MicrofIbra Repelente a Líquido/Microfibra Antimicrobiana/Microfibra Comum:MicrofIbra Repelente a Líquido,cor:Azul Índigo/Branco/Chumbo/Vinho/Verde Militar/Marinho:Marinho"
F21_14309,"Jaleco Bari","Tecido: MicrofIbra Repelente a Líquido, Cor: Rosê com Vinho",https://biostilo.com:444/wp-content/uploads/2019/11/IMG_8489-1.jpg,https://biostilo.com:444/product/jaleco-bari/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=rose-com-vinho,"Feminino, Jalecos","BioStilo",169BRL,in stock,F21_6172,https://biostilo.com:444/carrinho/?add-to-cart=6172&variation_id=14309&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=rose-com-vinho,"https://biostilo.com:444/wp-content/uploads/2019/11/bari1.jpg,https://biostilo.com:444/wp-content/uploads/2019/11/bari2.jpg,https://biostilo.com:444/wp-content/uploads/2019/11/bari3.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/bari-chumbo0.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/bari-marinho1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169BRL,new,published,,"tecido:MicrofIbra Repelente a Líquido/Microfibra Antimicrobiana/Microfibra Stretch/Microfibra Comum:MicrofIbra Repelente a Líquido,cor:Azul Claro com Detalhe Marinho/Bege com Detalhe Marrom/Branco com Detalhe Azul Royal/Branco com Detalhe Branco/Branco com Detalhe Marinho/Branco com Detalhe Rosa Escuro/Chumbo/Cinza Claro com Detalhe em Chumbo/Marinho/Vinho/Verde Novo/Rosê com Vinho:Rosê com Vinho"
19_14298,"Jaleco Allegra","Tecido: MicrofIbra Repelente a Líquido, Cor: Pink",https://biostilo.com:444/wp-content/uploads/2019/12/IMG_9054.jpg,https://biostilo.com:444/product/jaleco-allegra/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=pink,"Feminino, Jalecos","BioStilo",169BRL,in stock,19_7960,https://biostilo.com:444/carrinho/?add-to-cart=7960&variation_id=14298&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=pink,"https://biostilo.com:444/wp-content/uploads/2019/12/allegra-bege-marrom0.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-bege-marrom1.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-cinzaclaro-chumbo2.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-marinho0.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-marinho1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169BRL,new,published,,"tecido:MicrofIbra Repelente a Líquido/Microfibra Antimicrobiana/Microfibra Comum:MicrofIbra Repelente a Líquido,cor:Bege com Detalhe Marrom/Branco com Detalhe Azul Royal/Branco com Detalhe Branco/Branco com Detalhe Rosa Escuro/Chumbo/Cinza Claro com Detalhe em Chumbo/Marinho/Rosê com Vinho/Pink/Rosê com detalhe vinho:Pink"
wc_post_id_14289,"Jaleco Ingrid","Tecido: MicrofIbra Repelente a Líquido, Cor: Vinho",https://biostilo.com:444/wp-content/uploads/2020/09/Ingrid-Vinho-1-1.jpg,https://biostilo.com:444/product/jaleco-ingrid/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=vinho,"Coleção Casablanca, Feminino, Jalecos, Novidades","BioStilo",195BRL,in stock,wc_post_id_9730,https://biostilo.com:444/carrinho/?add-to-cart=9730&variation_id=14289&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=vinho,"https://biostilo.com:444/wp-content/uploads/2020/01/ingrid-branco0.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/ingrid-branco1.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/ingrid-rose3.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/ingrid-pink2.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/ingrid-azul-marinho4.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,195BRL,new,published,,"tecido:MicrofIbra Repelente a Líquido/Microfibra Antimicrobiana/Microfibra Comum:MicrofIbra Repelente a Líquido,cor:Branco/Marinho/Pink/Rosê/Vinho:Vinho"
wc_post_id_14253,"Jaleco Rick","Tecido: MicrofIbra Repelente a Líquido, Cor: Verde Militar",https://biostilo.com:444/wp-content/uploads/2020/08/IMG_9191.jpg,https://biostilo.com:444/product/jaleco-rick/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=verde-militar,"Coleção Casablanca, Destaques, Masculino, Jalecos","BioStilo",189BRL,in stock,wc_post_id_9642,https://biostilo.com:444/carrinho/?add-to-cart=9642&variation_id=14253&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=verde-militar,"https://biostilo.com:444/wp-content/uploads/2020/01/IMG_9139-scaled-e1600372381182.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/rick-branco2.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/rick-vinho3.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/rick-chumbo4.jpg,https://biostilo.com:444/wp-content/uploads/2020/01/01.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,189BRL,new,published,,"tecido:MicrofIbra Repelente a Líquido/Microfibra Antimicrobiana/Microfibra Comum:MicrofIbra Repelente a Líquido,cor:Azul Índigo/Branco/Chumbo/Vinho/Verde Militar/Marinho:Verde Militar"
19_14222,"Jaleco Allegra","Tecido: MicrofIbra Repelente a Líquido, Cor: Rosê com detalhe vinho",https://biostilo.com:444/wp-content/uploads/2020/08/IMG_8341.jpg,https://biostilo.com:444/product/jaleco-allegra/?attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_cor=rose-detalhe-vinho,"Feminino, Jalecos","BioStilo",169BRL,in stock,19_7960,https://biostilo.com:444/carrinho/?add-to-cart=7960&variation_id=14222&attribute_pa_tecido=microfibra-repelente-a-liquido&attribute_pa_tamanho=&attribute_pa_cor=rose-detalhe-vinho,"https://biostilo.com:444/wp-content/uploads/2019/12/allegra-bege-marrom0.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-bege-marrom1.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-cinzaclaro-chumbo2.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-marinho0.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/allegra-marinho1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,169BRL,new,published,,"tecido:MicrofIbra Repelente a Líquido/Microfibra Antimicrobiana/Microfibra Comum:MicrofIbra Repelente a Líquido,cor:Bege com Detalhe Marrom/Branco com Detalhe Azul Royal/Branco com Detalhe Branco/Branco com Detalhe Rosa Escuro/Chumbo/Cinza Claro com Detalhe em Chumbo/Marinho/Rosê com Vinho/Pink/Rosê com detalhe vinho:Rosê com detalhe vinho"
F09_14215,"Jaleco Heras","Tecido: Microfibra Antimicrobiana, Cor: Chumbo",https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras-chumbo0.jpg,https://biostilo.com:444/product/jaleco-heras/?attribute_pa_tecido=microfibra-antibacteriana&attribute_pa_cor=chumbo,"Feminino, Jalecos","BioStilo",208BRL,in stock,F09_6612,https://biostilo.com:444/carrinho/?add-to-cart=6612&variation_id=14215&attribute_pa_tecido=microfibra-antibacteriana&attribute_pa_tamanho=&attribute_pa_cor=chumbo,"https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras0.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras1.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras2.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-heras3.jpg,https://biostilo.com:444/wp-content/uploads/2020/02/1-2.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,208BRL,new,published,,"tecido:Microfibra Antimicrobiana/Microfibra Comum/MicrofIbra Repelente a Líquido/Microfibra Stretch:Microfibra Antimicrobiana,cor:Branco/Azul Claro/Bege/Chumbo/Cinza Claro/Marinho/Verde/Vinho/Pink/Verde Água:Chumbo"
F15_14214,"Jaleco Viena","Tecido: Microfibra Antimicrobiana, Cor: Chumbo",https://biostilo.com:444/wp-content/uploads/2019/12/Vienachumbo3.png,https://biostilo.com:444/product/jaleco-viena/?attribute_pa_tecido=microfibra-antibacteriana&attribute_pa_cor=chumbo,"Feminino, Jalecos","BioStilo",149BRL,in stock,F15_6671,https://biostilo.com:444/carrinho/?add-to-cart=6671&variation_id=14214&attribute_pa_tecido=microfibra-antibacteriana&attribute_pa_tamanho=&attribute_pa_cor=chumbo,"https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-viena1.jpg,https://biostilo.com:444/wp-content/uploads/2020/02/1.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-viena4.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-viena-branco-1.jpg,https://biostilo.com:444/wp-content/uploads/2019/12/jaleco-viena-azulclaro3.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,149BRL,new,published,,"tecido:Microfibra Antimicrobiana/Microfibra Comum/MicrofIbra Repelente a Líquido/Microfibra Stretch:Microfibra Antimicrobiana,cor:Branco/Azul Claro/Chumbo/Marinho/Vinho/Azul Índigo:Chumbo"
